time,G1-WT,G2-WT,G3-WT,H1-dPHZ,H2-dPHZ,H3-dPHZ
0.074722,0.051,0.051,0.051,0.053,0.052,0.052
0.158056,0.051,0.051,0.051,0.053,0.052,0.052
0.241389,0.051,0.051,0.051,0.053,0.052,0.052
0.324722,0.052,0.051,0.051,0.053,0.052,0.053
0.408056,0.051,0.051,0.051,0.053,0.052,0.052
0.491389,0.051,0.051,0.051,0.053,0.052,0.053
0.574722,0.051,0.051,0.051,0.053,0.052,0.053
0.658056,0.051,0.051,0.051,0.053,0.052,0.052
0.741389,0.052,0.051,0.052,0.053,0.052,0.053
0.824722,0.052,0.051,0.052,0.053,0.053,0.053
0.908056,0.052,0.052,0.052,0.053,0.053,0.053
0.991389,0.052,0.052,0.052,0.053,0.054,0.053
1.074722,0.052,0.052,0.052,0.054,0.053,0.053
1.158056,0.052,0.052,0.052,0.054,0.053,0.054
1.241389,0.052,0.052,0.052,0.054,0.054,0.054
1.324722,0.052,0.052,0.053,0.054,0.053,0.054
1.408056,0.052,0.052,0.053,0.054,0.054,0.054
1.491389,0.053,0.052,0.053,0.054,0.054,0.054
1.574722,0.053,0.052,0.053,0.054,0.054,0.054
1.658056,0.053,0.052,0.053,0.055,0.054,0.054
1.741389,0.053,0.053,0.053,0.055,0.054,0.055
1.824722,0.053,0.053,0.054,0.055,0.054,0.055
1.908056,0.053,0.053,0.054,0.055,0.054,0.055
1.991389,0.054,0.054,0.054,0.056,0.055,0.056
2.074722,0.054,0.054,0.054,0.056,0.055,0.056
2.158056,0.054,0.054,0.055,0.056,0.055,0.056
2.241389,0.055,0.055,0.055,0.056,0.055,0.056
2.324722,0.055,0.055,0.056,0.057,0.056,0.057
2.408056,0.055,0.055,0.056,0.057,0.056,0.058
2.491389,0.056,0.056,0.057,0.058,0.057,0.059
2.574722,0.056,0.056,0.057,0.058,0.057,0.059
2.658056,0.057,0.057,0.058,0.059,0.058,0.059
2.741389,0.057,0.058,0.058,0.059,0.059,0.06
2.824722,0.058,0.058,0.059,0.06,0.059,0.06
2.908056,0.058,0.059,0.06,0.061,0.06,0.061
2.991389,0.059,0.06,0.061,0.062,0.061,0.062
3.074722,0.059,0.061,0.061,0.062,0.061,0.063
3.158056,0.06,0.062,0.063,0.063,0.062,0.064
3.241389,0.061,0.063,0.064,0.065,0.063,0.065
3.324722,0.062,0.064,0.065,0.065,0.064,0.066
3.408056,0.063,0.066,0.066,0.067,0.065,0.067
3.491389,0.064,0.067,0.068,0.068,0.066,0.069
3.574722,0.065,0.069,0.069,0.07,0.068,0.07
3.658056,0.066,0.07,0.071,0.071,0.069,0.072
3.741389,0.068,0.072,0.073,0.073,0.071,0.074
3.824722,0.07,0.074,0.075,0.074,0.073,0.076
3.908056,0.071,0.075,0.078,0.076,0.074,0.077
3.991389,0.072,0.077,0.079,0.078,0.076,0.079
4.074722,0.074,0.08,0.081,0.08,0.078,0.081
4.158056,0.076,0.082,0.083,0.082,0.08,0.083
4.241389,0.078,0.084,0.085,0.084,0.082,0.086
4.324722,0.08,0.087,0.088,0.086,0.084,0.089
4.408056,0.082,0.089,0.091,0.089,0.087,0.091
4.491389,0.085,0.092,0.094,0.092,0.09,0.094
4.574722,0.087,0.095,0.097,0.095,0.092,0.097
4.658056,0.089,0.098,0.1,0.098,0.096,0.101
4.741389,0.092,0.101,0.104,0.101,0.099,0.104
4.824722,0.095,0.105,0.107,0.104,0.102,0.108
4.908056,0.098,0.109,0.112,0.108,0.105,0.112
4.991389,0.102,0.113,0.117,0.112,0.109,0.117
5.074722,0.106,0.119,0.122,0.117,0.114,0.122
5.158056,0.11,0.124,0.128,0.122,0.118,0.128
5.241389,0.114,0.13,0.135,0.127,0.124,0.134
5.324722,0.119,0.136,0.142,0.133,0.13,0.141
5.408056,0.124,0.143,0.149,0.14,0.136,0.148
5.491389,0.131,0.151,0.158,0.147,0.143,0.156
5.574722,0.137,0.16,0.167,0.154,0.151,0.165
5.658056,0.144,0.168,0.177,0.164,0.161,0.174
5.741389,0.152,0.177,0.187,0.172,0.17,0.183
5.824722,0.161,0.187,0.198,0.181,0.179,0.192
5.908056,0.171,0.194,0.209,0.19,0.19,0.202
5.991389,0.179,0.203,0.22,0.199,0.203,0.214
6.074722,0.188,0.214,0.227,0.216,0.22,0.226
6.158056,0.196,0.224,0.241,0.223,0.238,0.237
6.241389,0.204,0.239,0.25,0.235,0.252,0.248
6.324722,0.214,0.254,0.256,0.247,0.266,0.259
6.408056,0.222,0.265,0.269,0.254,0.276,0.266
6.491389,0.233,0.275,0.276,0.265,0.285,0.273
6.574722,0.243,0.283,0.283,0.272,0.297,0.282
6.658056,0.251,0.288,0.293,0.28,0.307,0.291
6.741389,0.26,0.295,0.303,0.285,0.316,0.301
6.824722,0.274,0.308,0.319,0.291,0.327,0.309
6.908056,0.281,0.319,0.324,0.296,0.333,0.317
6.991389,0.289,0.327,0.331,0.3,0.339,0.324
7.074722,0.297,0.329,0.339,0.311,0.346,0.331
7.158056,0.303,0.336,0.342,0.318,0.354,0.338
